ID_PRODUCTO,DESCRIPCION_MERCANCIA
PROD-001,Zapatos de cuero para hombre con suela de caucho hechos a mano en Italia
PROD-002,Máquina de café espresso industrial de doble grupo 220V en acero inoxidable
PROD-003,Polímeros de etileno en formas primarias (resina plástica) para fabricación de envases
PROD-004,Extracto de malta para la elaboración de alimentos infantiles
PROD-005,Partes y accesorios para tractores: Eje de transmisión de acero forjado
PROD-006,Sillas de comedor tapizadas con tejido de algodón y estructura de madera de roble
PROD-007,Smartphones con pantalla OLED de 6.5 pulgadas y 256GB de almacenamiento
PROD-008,Preparaciones de belleza: Champú sin sulfatos enriquecido con aceite de argán
PROD-009,Baldosas de cerámica esmaltada para pavimentación 60x60 cm
PROD-010,Vino tinto reserva embotellado 750ml con grado alcohólico 13.5%
